"","V1","V2"
"184",1809,0.899439383321654
"185",2737,0.962859145059565
"186",921,0.744919411352488
"187",1998,0.914856341976174
"188",1500,0.855641205325858
"189",344,0.550805886475123
"190",245,0.489838822704975
"191",191,0.454099509460406
"192",124,0.386124737210932
"193",1042,0.775402943237561
"194",1404,0.836019621583742
"195",502,0.61177295024527
"196",3011,0.972669936930624
"197",595,0.65031534688157
"198",551,0.635248773651016
"199",1295,0.820953048353188
"200",1705,0.885073580939033
"201",2620,0.95760336370007
"202",1184,0.800981079187106
"203",1962,0.913104414856342
"204",1442,0.844078486334969
"205",555,0.637000700770848
"206",282,0.514015416958654
"207",147,0.419411352487737
"208",67,0.290469516468115
"209",1139,0.79187105816398
"210",1422,0.839173090399439
"211",506,0.613875262789068
"212",3032,0.974421864050455
"213",815,0.716538192011212
"214",1281,0.817799579537491
"215",1601,0.873160476524177
"216",2435,0.951646811492642
"217",2188,0.933426769446391
"218",1930,0.908899789768746
"219",1578,0.866853538892782
"220",768,0.703223545900491
"221",618,0.655921513665031
"222",83,0.325508058864751
"223",26,0.176944639103013
"224",88,0.333917309039944
"225",1463,0.847582340574632
"226",2119,0.927119831814996
"227",658,0.670637701471619
"228",2669,0.961807988787666
"229",1371,0.832515767344079
"230",1665,0.880168185003504
"231",1172,0.798878766643308
"232",1413,0.837070777855641
"233",2194,0.933777154870357
"234",3780,0.992992291520673
"235",2108,0.925718290119131
"236",1672,0.88051857042747
"237",1222,0.805886475122635
"238",1061,0.779257182901191
"239",161,0.430273300630694
"240",140,0.410651716888577
"241",2316,0.945690259285214
"242",3186,0.978626489138052
"243",979,0.763840224246671
"244",1664,0.879817799579538
"245",633,0.659425367904695
"246",753,0.70042046250876
"247",732,0.695865451997197
"248",1537,0.862999299229152
"249",1829,0.900840925017519
"250",1213,0.804484933426769
"251",382,0.564821303433777
"252",409,0.575683251576734
"253",99,0.349334267694464
"254",1318,0.826208829712684
"255",1533,0.862298528381219
"256",542,0.631394533987386
"257",1100,0.783812193412754
"258",232,0.483531885073581
"259",188,0.451646811492642
"260",260,0.498598458304135
"261",316,0.535739313244569
"262",378,0.563419761737912
"263",438,0.586895585143658
"264",1435,0.841625788367204
"265",864,0.730203223545901
"266",177,0.443938332165382
"267",116,0.377014716187807
"268",49,0.247372109320252
"269",654,0.668185003503854
"270",806,0.713735108619481
"271",849,0.726699369306237
"272",143,0.414155571128241
"273",104,0.357743517869657
"274",171,0.437631394533987
"275",246,0.490889978976875
"276",300,0.525578135949545
"277",1254,0.812894183601962
"278",740,0.697617379117029
"279",79,0.318149964961458
"280",129,0.396636299929923
"281",531,0.626839523475823
"282",700,0.685704274702172
"283",307,0.53083391730904
"284",577,0.644358794674142
"285",109,0.36510161177295
"286",64,0.283812193412754
"287",122,0.382971268395235
"288",154,0.426419060967064
"289",178,0.444989488437281
"290",765,0.702522775052558
"291",412,0.577785564120533
